timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545281498003773,-1,0,-2,-1,3,4,-3,-2
1545281498003773,0,0,-1,0,1,-4,0,-3
1545281498004774,-2,-1,-1,0,4,-2,1,-1
1545281498004774,-2,-1,0,0,-7,-4,-2,-2
1545281498016783,2,0,-1,-3,0,0,0,-1
1545281498016783,0,-1,-3,1,-1,1,-3,-2
1545281498025790,-1,-3,-1,2,-1,1,-4,-2
1545281498025790,-1,-1,0,1,3,-4,0,-2
1545281498040799,-3,-3,-1,-4,-9,-2,2,-1
1545281498040799,3,0,0,4,8,0,0,2
1545281498042801,-3,-2,0,-1,-9,-5,-3,0
1545281498042801,0,0,-1,3,6,5,1,1
1545281498063815,-3,0,1,-1,0,-3,0,-1
1545281498063815,-3,-4,-1,-3,-2,-3,-5,-2
1545281498064816,0,-1,-2,-4,-8,-2,-3,-1
1545281498064816,-1,-1,-1,0,1,1,0,-2
1545281498076824,-1,2,-3,0,-3,-1,2,-2
1545281498076824,-2,-2,1,-4,-6,0,2,0
1545281498085831,-3,-2,-2,1,-5,-3,-2,-2
1545281498085831,-2,0,-1,-4,-3,1,-3,1
1545281498100842,1,-1,-1,-1,-9,-2,-4,-1
1545281498100842,-2,0,0,2,3,-1,-7,-5
1545281498102843,3,1,0,1,6,3,12,5
1545281498102843,-2,-1,-2,-2,-5,-4,-2,-3
1545281498122856,4,1,-1,-1,1,1,2,1
1545281498122856,0,1,0,-4,-9,-9,-1,1
1545281498124858,-2,-1,0,-1,9,6,-4,-2
1545281498124858,-1,0,-2,-2,-3,-4,-1,-1
1545281498136867,-3,-2,-1,2,-1,-2,-2,0
1545281498136867,-5,-2,-3,-4,0,-4,-18,-2
1545281498145873,-2,1,1,-1,-3,0,9,-11
1545281498145873,1,-1,0,2,0,1,6,12
1545281498160884,1,-1,1,0,-3,0,0,0
1545281498160884,1,-1,-1,0,4,2,2,0
1545281498162885,-2,-4,-1,-4,-4,-3,-3,0
1545281498162885,-3,-1,0,0,0,-3,-2,-5
1545281498182900,0,-1,-3,-2,-1,-3,-3,-3
1545281498182900,-3,-5,0,-1,0,0,2,-1
1545281498184902,-1,0,-1,2,-7,-5,-5,1
1545281498184902,1,-1,-2,3,2,2,1,-2
1545281498196909,-4,-3,-1,0,8,0,-4,3
1545281498196909,0,1,-1,-6,-1,5,4,-1
1545281498205916,1,-2,-1,-1,4,-1,-2,0
1545281498205916,1,-1,0,-4,-1,-1,-4,-4
1545281498220927,-1,0,-1,-1,-1,5,-1,-1
1545281498220927,0,0,0,2,0,-2,4,-1
1545281498222928,-1,-2,-4,-1,-5,-3,-4,-1
1545281498222928,0,0,0,-6,-3,-4,1,1
1545281498242942,-2,-1,0,3,-5,-3,1,-3
1545281498242942,-1,0,-2,0,5,0,1,1
1545281498244943,-3,-1,0,-3,1,-3,-4,0
1545281498244943,-2,-2,1,1,-6,-3,-7,-6
1545281498256952,0,-2,-2,3,12,1,-2,2
1545281498256952,1,1,-2,-1,-1,-1,1,-1
1545281498265958,-3,-1,0,2,3,2,0,0
1545281498265958,-4,-2,-4,-9,-3,-1,1,-1
1545281498281969,-4,-3,-6,5,-6,-4,1,-2
1545281498281969,-1,1,7,3,-5,-2,1,-7
1545281498286975,-11,-1,3,15,2,1,-12,-7
1545281498286975,-2,-9,-28,-31,3,-2,14,-38
1545281498302985,22,12,28,-19,0,7,0,96
1545281498302985,15,-6,-6,-27,-5,-8,-6,-67
1545281498304987,-2,2,5,21,16,-2,3,-22
1545281498304987,-30,-4,-7,10,-7,-1,-5,-11
1545281498316994,22,0,-4,42,-4,1,12,-8
1545281498316994,-43,-2,2,-93,-9,-7,-11,31
1545281498326001,24,2,18,20,-15,5,20,16
1545281498326001,1,0,-16,-82,9,-11,-15,13
1545281498340013,2,8,38,74,-24,-1,61,-68
1545281498340013,-15,-14,-60,120,36,17,5,10
1545281498347018,-16,2,22,-90,-37,-17,5,-33
1545281498347018,9,7,3,40,-20,5,17,47
1545281498363027,7,8,18,8,-6,-9,-15,6
1545281498363027,-6,-1,5,27,9,-3,-75,-22
