timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545280739801983,6,1,-1,1,12,14,6,2
1545280739801983,-6,-1,-3,-1,2,6,0,-3
1545280739802984,-2,-4,1,-8,-10,-1,-3,-1
1545280739802984,3,5,-6,2,2,-12,-4,-2
1545280739815993,-12,-11,-4,-12,-9,4,-4,-4
1545280739815993,13,4,3,5,13,3,6,6
1545280739822997,-6,-4,-1,6,8,4,3,3
1545280739822997,-10,-7,-2,0,-17,-9,-4,-3
1545280739839010,8,3,-2,-15,-16,-20,-1,2
1545280739839010,2,3,-1,4,8,6,1,0
1545280739841011,-1,4,-2,-3,7,1,0,1
1545280739841011,-4,-9,-3,0,4,4,1,-4
1545280739862025,-1,3,2,-5,-25,4,1,5
1545280739862025,7,1,-3,26,43,0,2,2
1545280739863026,-12,-6,-3,3,8,2,-9,-18
1545280739863026,10,2,-1,-6,-3,-7,0,1
1545280739875034,-13,-11,-2,-1,-3,1,-2,-7
1545280739875034,9,6,-1,-19,-28,-4,-1,5
1545280739884042,-6,6,-1,3,6,1,2,0
1545280739884042,0,-4,1,13,8,7,-2,0
1545280739899051,-1,6,1,-3,3,5,2,1
1545280739899051,3,-3,-4,-7,-21,-32,-7,-1
1545280739901066,-5,-6,-1,-7,-4,0,1,-1
1545280739901066,1,-1,1,-1,-6,4,-2,-3
1545280739922068,0,-1,1,3,-3,-1,-2,-1
1545280739922068,-11,-7,0,7,22,-2,0,-1
1545280739923069,7,3,-4,-7,-4,12,-1,1
1545280739923069,-3,-1,-2,-6,-6,-23,-5,-1
1545280739935078,1,-1,5,11,10,21,5,3
1545280739935078,3,0,-1,-11,-12,-19,-10,-7
1545280739944083,-21,-11,-3,0,-9,-5,-2,0
1545280739944083,6,2,-2,-10,0,-4,1,2
1545280739959094,-1,-2,-3,-3,7,13,3,-1
1545280739959094,5,0,2,2,0,-9,-2,3
1545280739961113,-11,-3,1,7,9,5,2,-7
1545280739961113,0,0,-9,-15,-16,-14,-8,0
1545280739982112,-7,-3,2,8,-4,-4,1,-3
1545280739982112,-3,4,4,7,20,21,7,1
1545280739983111,14,1,1,-2,0,2,-2,1
1545280739983111,-9,-7,-3,1,-4,29,0,-4
1545280739995132,4,0,-7,-10,-19,-59,-7,2
1545280739995132,-5,-2,-6,-14,-20,23,-7,-11
1545280740004133,7,3,1,7,26,8,2,5
1545280740004133,9,-5,0,-4,-17,7,10,4
1545280740019149,-6,-7,-2,0,11,-14,-4,-2
1545280740019149,-4,-7,-2,6,-10,4,5,1
1545280740021139,-6,0,-3,3,18,22,-7,-11
1545280740021139,16,3,-1,-12,-8,-11,2,1
1545280740042165,-7,-18,-3,0,6,5,-2,-2
1545280740042165,-9,11,-1,-8,-7,-10,-2,-3
1545280740043154,13,0,-5,-5,-29,-16,-11,-5
1545280740043154,-13,3,5,12,14,6,2,1
1545280740055175,6,5,-4,3,6,-3,3,3
1545280740055175,-3,-3,2,-5,-10,-11,-6,-4
1545280740064186,7,-2,7,6,-5,-24,0,3
1545280740064186,-1,1,-8,-8,19,14,9,0
1545280740079192,5,0,14,31,0,5,2,1
1545280740079192,-4,-2,-3,-23,-3,11,-9,-3
1545280740081194,0,2,-3,-14,-22,-17,-2,-1
1545280740081194,-8,-9,-4,0,-9,-18,-8,-4
1545280740102208,-3,6,-11,-17,12,17,1,-2
1545280740102208,4,-1,-1,12,7,5,11,5
1545280740103198,-6,-10,6,8,-2,0,-1,-1
1545280740103198,-6,-4,4,1,5,2,-2,-3
1545280740115217,3,1,-6,-6,2,17,-2,-3
1545280740115217,-3,0,-4,-4,-17,-22,-3,-2
1545280740124211,2,1,-4,-4,6,3,5,5
1545280740124211,-1,-3,3,12,1,-5,-2,-3
1545280740139239,1,1,6,2,-7,0,-5,-4
1545280740139239,-4,-1,-1,0,-2,13,-1,-2
1545280740141241,-2,2,-3,-4,9,-8,9,4
1545280740141241,2,-6,0,-4,4,4,1,1
1545280740161254,-2,1,8,11,-3,-5,-5,-4
1545280740161254,0,-5,-10,-8,-10,-12,-5,-3
1545280740163240,1,2,-5,2,3,19,0,1
1545280740163240,-2,3,7,5,6,-2,8,13
1545280740175249,-3,-7,-15,-28,-10,-6,-6,-17
1545280740175249,3,6,12,17,3,-3,-5,-1
1545280740184257,-10,-9,6,5,-10,-5,2,-2
1545280740184257,-3,-3,-7,-14,-17,-8,-12,-2
1545280740199265,-2,7,-9,-14,2,-8,1,3
1545280740199265,3,3,5,26,6,9,7,7
1545280740201276,0,0,-9,-13,9,-1,14,-9
1545280740201276,0,-1,-14,0,5,6,-10,24
1545280740221292,7,-9,36,24,-7,-8,-5,-31
1545280740221292,-6,2,-23,-26,-5,-3,-7,-7
1545280740223284,1,6,1,67,0,-4,0,22
1545280740223284,10,-3,-9,-24,-12,-7,-7,-26
1545280740235303,-8,0,18,14,-1,4,0,9
1545280740235303,2,1,-23,-24,15,12,12,3
1545280740244303,12,-8,-9,-41,1,26,-3,12
1545280740244303,-10,-3,38,72,-16,-30,-9,-4
1545280740259319,-8,-2,-12,-42,-16,-26,-6,1
1545280740259319,1,-1,-12,-26,12,11,7,-2
1545280740261321,5,1,3,4,17,11,-5,0
1545280740261321,-9,5,-9,-8,-14,4,0,-21
1545280740281340,6,5,-9,5,11,19,5,19
1545280740281340,-19,-1,21,5,-25,-45,5,6
1545280740283324,-6,-11,-9,-15,15,24,-1,-4
1545280740283324,2,-7,13,24,4,-8,2,6
1545280740304339,-6,2,3,12,0,12,-5,-8
1545280740304339,1,9,-9,-20,-6,-1,-13,-2
1545280740305340,-4,2,3,23,-14,-28,5,-10
1545280740305340,3,-2,-9,-21,3,9,-1,2
1545280740319350,0,-4,-2,-2,3,18,-1,9
1545280740319350,6,-3,8,15,-3,-4,1,0
1545280740321351,-6,-6,8,6,24,2,-7,-11
1545280740321351,2,-5,-5,34,4,2,2,1
1545280740342366,7,5,-39,-57,-1,-9,6,6
1545280740342366,-5,-9,51,83,-3,1,-9,-5
1545280740343367,3,7,-7,-31,-18,-6,-1,2
