timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545022231333087,4,2,1,-6,-13,2,1,1
1545022231333087,1,-2,1,1,9,-3,-2,-1
1545022231351099,-11,-3,-3,0,2,-3,-2,-3
1545022231351099,6,-2,-3,0,-4,-5,-2,0
1545022231353101,5,1,1,-1,-1,-6,1,-1
1545022231353101,-2,1,-1,0,-1,9,-1,0
1545022231365124,2,-2,1,-2,-3,0,1,0
1545022231365124,-5,-4,-3,1,6,3,-2,-1
1545022231366110,4,1,-4,-9,-3,-2,-2,-2
1545022231366110,-3,-4,-2,-2,-6,-7,-2,-2
1545022231387126,-5,-1,0,-7,3,-5,-3,-4
1545022231387126,-5,0,-1,17,-9,8,0,-1
1545022231389138,13,-3,-1,-10,4,0,0,0
1545022231389138,-2,1,-1,-1,3,0,2,1
1545022231410144,1,-3,-1,0,0,0,0,-1
1545022231410144,-9,-3,-1,0,-9,-11,-2,-1
1545022231411142,-8,-1,-2,0,5,13,-1,-1
1545022231411142,1,-1,-1,1,-8,-6,0,1
1545022231425168,4,-1,-2,-1,2,-1,-2,0
1545022231425168,-5,-2,0,-3,-1,-8,-2,-4
1545022231426172,1,0,-1,-2,-18,-4,1,2
1545022231426172,2,0,-1,-22,6,3,0,-2
1545022231447179,0,-2,-3,14,9,0,0,0
1545022231447179,-1,-2,-2,-2,6,1,-1,-3
1545022231449178,-5,-2,0,4,-3,0,-1,-2
1545022231449178,-1,1,1,-1,-4,-2,-1,0
1545022231470193,-10,-3,-2,-11,-10,-3,-3,-2
1545022231470193,4,1,-2,-1,0,7,-1,-1
1545022231471194,-1,2,0,1,7,1,1,0
1545022231471194,5,0,-2,3,-3,2,2,2
1545022231485195,1,0,2,-5,-2,-4,-1,-1
1545022231485195,-2,-3,-1,-1,-6,-11,-2,-2
1545022231486196,-8,1,-1,2,-1,5,-1,-2
1545022231486196,-2,-2,-1,4,-4,-5,-1,-2
1545022231507210,11,1,0,3,-5,3,0,2
1545022231507210,-2,1,-1,-2,13,3,2,-1
1545022231509211,-1,-3,-1,-2,-4,-7,-2,-3
1545022231509211,-7,-2,0,-2,3,-3,-5,-5
1545022231530225,2,-2,1,4,-2,-7,-3,-1
1545022231530225,5,1,0,-2,-4,15,1,1
1545022231531226,-4,-1,0,-15,1,-5,0,1
1545022231531226,-12,-3,-1,20,7,3,0,-1
1545022231544236,8,0,-1,-7,-3,-6,-2,-1
1545022231544236,-3,0,0,3,-7,-6,-2,1
1545022231551256,-1,-3,-1,-5,8,5,1,-1
1545022231551256,-1,-2,-2,-6,-4,-1,-1,-1
1545022231567252,-4,-1,0,-3,-1,0,0,-3
1545022231567252,-5,-3,-2,-4,-1,-4,-2,-3
1545022231569271,3,0,1,12,-4,1,1,3
1545022231569271,3,0,-1,-3,-4,-11,-1,1
1545022231590269,-4,-1,-2,-2,4,8,-2,-3
1545022231590269,2,0,-2,-4,-4,-5,-2,-3
1545022231591269,-3,-3,1,1,-2,-2,-3,-2
1545022231591269,-5,-5,-3,0,-1,3,-1,-1
1545022231604296,-1,0,0,12,-1,0,-1,0
1545022231604296,-4,0,-1,-3,3,-1,1,-1
1545022231612284,-5,-1,-2,-5,1,-3,-2,-3
1545022231612284,5,0,-3,-5,-3,-4,0,2
1545022231627295,1,0,-2,1,-3,4,1,0
1545022231627295,3,1,-1,3,-4,-9,-1,0
1545022231629296,-2,-1,-4,4,2,11,-3,-2
1545022231629296,1,-2,-1,2,0,-1,-1,-1
1545022231649327,-2,-1,-1,-9,-4,-6,-4,-2
1545022231649327,0,0,-2,2,-8,4,0,1
1545022231651311,-9,-2,-4,-13,11,-7,-2,-2
1545022231651311,9,1,1,18,6,3,1,0
1545022231664333,5,3,-3,-7,0,1,-2,1
1545022231664333,-3,-1,2,-2,-1,-3,-2,-2
1545022231671326,-2,-1,0,2,-5,-7,-4,-1
1545022231671326,-16,-2,-1,-4,-1,8,0,-2
1545022231687355,-2,1,0,-1,3,-9,1,-2
1545022231687355,2,-2,-3,-8,2,14,-2,0
1545022231689356,1,0,-2,0,-7,-4,1,-1
1545022231689356,-2,0,-1,-2,-3,-7,-3,-1
1545022231709365,-2,-2,-2,10,-6,-1,0,-1
1545022231709365,-4,-2,-2,-10,4,-3,-1,-1
1545022231711356,2,0,0,3,3,-1,-1,1
1545022231711356,3,-2,-1,-3,-1,-9,-2,-1
1545022231724364,-2,-2,-1,-2,1,10,-2,-1
1545022231724364,2,1,0,3,1,4,0,-2
1545022231731368,-2,-1,0,4,4,-5,-2,-3
1545022231731368,3,-2,0,-4,-6,-4,-2,-1
1545022231747380,-2,-2,-3,-7,-15,-5,-4,-3
1545022231747380,-6,0,-3,3,11,0,0,1
1545022231749381,-4,-2,-3,0,-7,-1,-2,-2
1545022231749381,14,1,-1,-4,0,2,-2,1
1545022231769409,-4,-1,0,-2,-5,4,2,-1
1545022231769409,-2,-3,-1,2,-4,-8,-2,-3
1545022231771396,-5,-1,-2,1,-4,-4,1,-1
1545022231771396,-6,0,-1,-9,-4,8,-2,-2
1545022231784419,3,0,-2,1,6,-4,-1,1
1545022231784419,4,3,0,2,4,-2,1,-1
1545022231791410,1,-2,-2,-1,-1,-1,0,-2
1545022231791410,-6,0,-1,-2,-4,3,-1,-2
1545022231807423,0,0,0,5,5,-1,0,1
1545022231807423,-3,-2,-2,-3,7,0,-1,-2
1545022231808423,5,-1,-1,3,-19,-7,-2,-1
1545022231808423,-5,-2,-1,-5,12,-6,-2,-4
1545022231829438,-18,-1,-1,-1,2,4,3,2
1545022231829438,7,0,-1,4,-1,5,2,3
1545022231831439,3,1,1,-2,1,4,0,2
1545022231831439,1,1,-1,3,-5,-5,-1,1
1545022231843447,-2,3,1,-1,8,-2,-2,-2
1545022231843447,-2,-1,0,-2,-4,4,1,0
1545022231852454,7,3,1,-4,0,6,1,2
1545022231852454,-4,-2,0,0,-3,-3,0,0
1545022231867482,4,-2,-1,-8,-1,-6,-3,-1
1545022231867482,-4,-1,0,-1,-4,4,-2,-1
1545022231868480,4,-1,1,2,5,5,0,0
1545022231868480,-2,-4,0,-4,2,-6,0,1
1545022231889481,4,1,0,-2,-10,-2,0,-2
1545022231889481,1,-2,1,1,-6,-4,-1,-3
1545022231891483,-3,-2,0,-1,1,-8,-4,-4
1545022231891483,2,-1,0,-2,-10,1,1,-1
1545022231903502,-2,-2,-1,9,24,11,1,-1
1545022231903502,-1,1,-1,-2,-8,-4,-2,-1
1545022231912496,9,-3,-4,-1,-3,-2,-4,-1
1545022231912496,-2,2,0,-2,-5,0,0,0
1545022231927511,5,-3,-1,-8,-11,-11,-3,-2
1545022231927511,3,-3,0,-1,1,3,1,1
1545022231928508,-5,-1,-2,2,3,-2,0,0
1545022231928508,4,-1,-2,-2,-1,0,-3,-1
1545022231949535,-3,-1,-1,-2,-2,-1,-1,-1
1545022231949535,-1,0,-2,-3,-5,-19,-3,1
1545022231951524,-5,-1,0,-3,2,18,1,0
1545022231951524,-7,-1,-1,4,-1,4,2,-3
1545022231963533,6,3,3,3,7,1,1,4
1545022231963533,-1,-4,-7,1,0,-1,-3,0
1545022231972539,-2,6,8,-6,-5,-12,-3,-4
1545022231972539,2,0,-4,-5,-7,3,-3,1
1545022231987549,-5,5,9,6,-1,-1,0,1
1545022231987549,-6,-14,14,3,4,-2,-1,-2
1545022231988551,-2,5,3,-3,-2,6,2,0
1545022231988551,8,9,-29,4,3,-1,-1,-1
1545022232009565,-4,-11,-16,-15,-11,-11,-2,-2
1545022232009565,-1,2,27,2,1,7,-3,-9
1545022232011567,3,-11,-41,12,6,-1,3,6
1545022232011567,-15,0,35,-4,0,-4,-1,-2
1545022232031581,17,-7,-25,2,0,7,0,-2
1545022232031581,7,6,-1,-10,-4,0,2,7
1545022232032582,-26,-4,-3,3,-5,-16,-5,-5
1545022232032582,-5,5,-16,4,9,14,2,1
1545022232046591,-17,-24,-4,-14,-14,-10,-5,-10
1545022232046591,20,3,-9,8,-1,8,-3,2
1545022232047593,9,1,7,-1,5,-6,0,2
1545022232047593,14,-5,12,6,-2,-2,0,2
1545022232069620,9,3,4,-3,1,-1,-1,0
1545022232069620,-15,-6,-9,-4,-7,-2,0,1
1545022232069620,2,5,19,2,0,-1,-3,-4
1545022232069620,-2,12,-28,-7,-5,-4,-3,-4
1545022232091623,2,-16,38,-3,-2,-1,1,0
1545022232091623,2,6,-26,-8,0,2,-1,-2
1545022232092642,-13,-3,19,1,2,6,1,-1
1545022232092642,6,-8,-36,6,6,0,-4,0
1545022232106646,-6,33,-21,-6,-3,0,0,3
1545022232106646,-1,-17,3,-3,-1,-10,0,-5
1545022232107646,20,15,-7,-3,-10,-2,-3,3
1545022232107646,-7,-10,26,6,11,1,1,-7
1545022232137673,0,18,4,-4,-1,4,-1,13
1545022232137673,26,-4,23,13,4,-5,-4,-1
1545022232137673,-73,-18,-27,-19,-6,7,-1,-9
