timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1532654308407505,1,8,-3,-2,-3,-1,-2,-1
1532654308407505,-2,-9,-1,-3,1,0,-1,2
1532654308407505,-1,-1,-2,-2,-4,-1,1,-1
1532654308407505,-3,2,2,2,-5,-6,-3,-2
1532654308408494,1,-1,-2,1,-3,5,-1,-2
1532654308408494,1,2,-2,1,5,0,-9,-1
1532654308413498,-2,-9,-1,-2,0,1,23,3
1532654308413498,0,1,-1,1,1,-1,-1,0
1532654308418516,-1,-2,-1,2,-4,-5,-3,-2
1532654308418516,1,0,-2,-4,-6,-1,-3,-2
1532654308430520,-4,-3,-2,-2,4,2,-4,-1
1532654308430520,1,-1,-1,0,-5,-2,-5,-2
1532654308433521,-4,-2,1,1,6,3,2,-1
1532654308433521,4,-1,-4,-3,-7,-2,1,-1
1532654308448535,-1,2,0,-4,-1,-2,-6,-1
1532654308448535,-2,-7,1,1,6,4,4,1
1532654308458541,-3,-6,-1,-3,0,0,-1,0
1532654308458541,-4,-3,-1,-2,0,-3,1,-2
1532654308473552,-2,2,0,-2,-11,-5,-5,-1
1532654308473552,0,2,-1,1,0,3,1,1
1532654308478556,3,2,2,4,6,-2,0,0
1532654308478556,-1,-8,-1,-2,-4,-4,0,0
1532654308493566,1,2,0,-1,0,6,-2,-1
1532654308493566,-2,1,-2,-3,2,-5,0,-4
1532654308532594,-2,-12,1,1,-2,-1,-6,0
1532654308532594,-1,3,-1,-1,3,0,-3,-1
1532654308533584,-1,8,-2,-1,-1,0,0,-3
1532654308533584,-1,-3,0,-2,-1,0,-3,-1
1532654308534595,0,-1,-2,-3,-5,-1,0,0
1532654308534595,-2,0,0,1,-1,-1,-1,-1
1532654308535596,0,-4,-1,-2,-3,-2,-4,-2
1532654308535596,0,0,-1,-1,1,0,1,0
1532654308547605,-3,-1,0,-2,3,0,1,1
1532654308547605,-2,-3,-2,-3,-9,-3,0,-1
1532654308553608,-2,3,0,2,3,0,4,0
1532654308553608,-1,-5,-1,-2,-5,-5,-3,-2
1532654308562615,-3,-3,0,-1,1,7,0,-4
1532654308562615,0,-2,0,0,0,0,-1,1
1532654308575624,-1,1,0,-1,-3,-3,-2,-2
1532654308575624,-2,-7,-2,-1,-1,0,0,0
1532654308592636,1,3,-1,-1,-1,-2,-2,-1
1532654308592636,-1,4,0,1,-1,0,1,-2
1532654308598640,-2,-1,-1,0,-2,0,0,-1
1532654308598640,-1,-1,-1,-1,1,-2,-1,0
1532654308607647,0,1,0,-1,-3,-1,2,-1
1532654308607647,0,-2,-1,1,2,0,-1,0
1532654308622657,-2,1,-1,0,1,-1,-2,-1
1532654308622657,-3,-7,2,1,-2,2,-8,-2
1532654308623657,1,1,-2,-2,-2,1,15,2
1532654308623657,-1,0,-1,-4,-4,-4,-5,-2
1532654308644661,1,1,-1,0,-5,-1,1,-1
1532654308644661,2,1,0,-1,6,-1,0,0
1532654308646662,0,-3,-2,-1,5,-3,-3,-1
1532654308646662,-1,-1,-2,-1,0,6,1,0
1532654308667695,-2,-1,0,2,5,1,1,-1
1532654308667695,-2,1,-1,-2,-7,-3,-2,-1
1532654308668686,-1,-3,-2,-5,-7,-5,-2,0
1532654308668686,0,-1,-2,0,3,-2,-1,-3
1532654308682700,-2,-3,1,1,-2,-1,-3,-1
1532654308682700,-2,0,-3,-3,-3,-3,1,-3
1532654308683689,-2,0,0,0,0,-2,-5,-2
1532654308683689,-1,-2,0,-3,-2,-3,-2,0
1532654308704704,4,-3,-1,-1,-7,0,1,0
1532654308704704,1,1,0,2,5,-1,1,-1
1532654308706706,-2,0,-2,1,0,1,0,-3
1532654308706706,-2,1,1,0,-1,1,-1,-2
1532654308718725,-1,-2,-1,-2,1,-1,-3,0
1532654308718725,0,-1,-2,-3,-4,-1,1,1
1532654308727730,-1,-3,-2,-2,-4,-4,-4,-1
1532654308727730,0,2,0,0,-4,-2,-3,1
1532654308742730,-5,-16,2,2,3,-1,0,0
1532654308742730,-2,-2,-4,-2,2,1,-1,-2
1532654308743734,2,3,1,-2,2,7,-3,-2
1532654308743734,0,-2,1,1,-2,-3,1,1
1532654308772768,-1,2,-1,-2,-1,-1,-1,-2
1532654308772768,0,1,-1,1,-7,-3,-2,-1
1532654308774753,-3,-4,-2,1,2,-1,-2,-2
1532654308774753,-2,-1,-3,-4,-2,1,-2,0
1532654308778769,1,0,-3,-2,-1,-2,-1,-2
1532654308778769,-1,-1,-2,-3,-3,0,1,1
1532654308787764,-1,2,-2,0,-2,-1,-3,-1
1532654308787764,0,0,-2,0,2,0,2,-1
1532654308802785,1,2,-2,0,0,-2,-4,-3
1532654308802785,-2,-1,-1,-1,1,-1,-1,0
