timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1532660913514033,2,-1,-2,0,-1,1,-2,-1
1532660913514033,3,-2,-3,-1,-1,-2,-1,0
1532660913515034,-1,-1,2,2,-1,-2,-8,-2
1532660913515034,-2,-1,-5,1,-3,0,12,1
1532660913517036,0,0,-4,-6,0,-7,-8,-1
1532660913517036,0,1,7,3,-1,-4,4,0
1532660913518036,-2,0,2,-1,-1,-1,-9,0
1532660913518036,-3,1,0,-1,-2,0,8,-2
1532660913526042,-1,-3,-2,-1,-3,5,13,2
1532660913526042,-2,-4,-7,-1,0,-4,-9,0
1532660913532049,1,-1,-6,-6,1,1,23,-2
1532660913532049,-1,2,3,3,-3,-4,-41,-3
1532660913540052,-2,-1,0,1,0,-1,3,1
1532660913540052,2,2,-4,-6,2,2,-4,-2
1532660913556082,0,-2,-4,1,-1,-4,-2,-1
1532660913556082,2,-2,4,-2,0,1,6,2
1532660913561135,-2,-1,-1,0,0,0,-4,-1
1532660913561135,10,-2,-1,0,0,3,-1,2
1532660913584207,-15,-1,-5,-1,-1,0,-3,1
1532660913584207,-2,-1,-1,-2,-1,-7,-3,-2
1532660913592233,-2,1,4,5,-1,-4,-7,-1
1532660913592233,-1,0,-2,-6,-1,4,8,-3
1532660913631206,-1,-1,-1,-4,-1,0,-2,-2
1532660913631206,20,-2,-2,1,-1,-4,0,1
1532660913632207,-14,-2,-2,-3,0,0,-1,0
1532660913632207,-5,2,2,-2,1,1,-1,-1
1532660913632207,-6,-4,-6,-1,-2,-4,1,1
1532660913632207,1,2,4,1,-2,2,-4,-1
1532660913633208,3,-3,-2,-1,-2,0,13,1
1532660913633208,2,-2,-5,-3,1,-1,-4,-3
1532660913637212,3,1,0,-2,-1,-4,-5,-4
1532660913637212,-6,-4,-3,-1,-1,2,-1,-1
1532660913643215,27,1,1,0,1,-1,-5,0
1532660913643215,-26,-4,-1,1,-2,-3,-2,-4
1532660913652228,-1,1,0,-3,-2,2,1,0
1532660913652228,-8,-2,-3,-2,-2,-3,0,-1
1532660913666231,-5,-1,1,-3,-1,-4,-3,-7
1532660913666231,9,0,-4,1,-3,-4,0,-1
1532660913680241,3,-2,-7,-4,0,0,-1,2
1532660913680241,32,3,16,3,0,1,1,1
1532660913689263,-30,-4,-7,4,-1,1,1,1
1532660913689263,-1,-1,0,-2,1,-1,1,-1
1532660913695268,-9,2,1,-2,-1,-2,0,-3
1532660913695268,-8,-2,-6,-2,-4,-3,-2,-8
1532660913712267,8,1,4,1,-3,1,0,7
1532660913712267,0,-6,-1,3,10,-2,-4,-4
1532660913713280,-6,8,1,-7,0,-1,0,-1
1532660913713280,-2,-9,-4,-1,1,2,7,1
1532660913734291,9,0,4,6,1,5,3,6
1532660913734291,-12,-21,-8,-8,-8,-14,-12,-4
1532660913736299,8,16,1,6,-10,5,2,-1
1532660913736299,-9,-2,-1,1,8,8,0,-1
1532660913748389,-6,-7,-13,-24,3,-16,-3,-3
1532660913748389,12,-9,7,4,18,8,6,4
1532660913757360,10,27,7,19,-7,-1,0,-3
1532660913757360,-15,-21,-2,-7,-46,5,7,28
1532660913779377,-8,13,-3,-1,-22,2,-10,-48
1532660913779377,11,30,2,6,-28,3,3,10
1532660913781357,9,-30,-17,-25,3,-13,-11,11
1532660913781357,21,6,0,-11,28,2,-15,-28
1532660913794423,-25,1,3,10,92,19,12,25
1532660913794423,-6,25,-5,-13,-15,-37,-6,-15
1532660913796374,6,2,21,26,-33,20,6,-3
1532660913796374,35,-9,-16,-3,-30,-24,0,15
1532660913808399,-80,-14,-3,-6,34,1,-7,-15
1532660913808399,48,-7,-7,-7,-20,3,1,-2
1532660913817405,-3,20,8,9,40,1,11,27
1532660913817405,-14,7,2,8,33,14,0,-37
1532660913832413,-7,-5,0,5,-47,0,-1,31
1532660913832413,15,4,0,1,63,10,2,5
1532660913833414,-22,-90,-9,-2,-27,0,-6,-21
1532660913833414,-10,79,-1,-7,-72,-23,-14,-6
1532660913854464,34,38,7,20,26,17,13,13
1532660913854464,25,-1,-7,-13,5,-7,3,16
1532660913856433,13,5,-3,-16,-55,-7,1,2
1532660913856433,-13,-18,7,15,-1,-5,-7,-6
1532660913868520,14,-17,-7,-21,-44,-18,-1,7
1532660913868520,-58,-9,-5,-9,30,-6,-8,-17
1532660913877491,-7,12,-7,1,28,-5,-8,-8
1532660913877491,-4,-16,3,18,2,17,15,15
1532660913892537,11,12,10,25,53,39,-4,-4
1532660913892537,2,-18,-5,-10,39,-29,-8,-3
1532660913893498,-8,-7,-15,-25,-83,-10,0,-11
1532660913893498,27,9,16,5,22,4,-2,0
1532660913914518,-20,-20,-15,-13,74,1,-8,-26
1532660913914518,-11,-8,8,18,-12,37,19,16
1532660913916500,15,8,-1,2,-5,-6,4,22
1532660913916500,-26,-28,-12,-21,47,-23,-7,9
1532660913937571,8,6,7,0,-67,-6,3,2
1532660913937571,39,20,-4,2,-33,-7,-6,-21
1532660913938518,-3,27,6,9,10,6,-2,7
1532660913938518,-2,-13,6,1,-10,5,-1,0
1532660913952544,36,-7,-4,-2,-27,-13,-6,-7
1532660913952544,-68,-5,3,-2,-26,-4,-2,6
1532660913953533,14,-24,-2,2,53,-4,-11,-42
1532660913953533,-68,9,0,4,-35,22,19,-3
1532660913974540,66,-12,-11,-30,20,-49,-19,-6
1532660913974540,-43,-1,1,3,-36,18,6,10
1532660913976561,-23,4,6,6,2,7,2,0
1532660913976561,6,-5,-6,2,1,-2,-3,-5
1532660913988607,33,11,0,2,-22,4,1,2
1532660913988607,4,-10,3,0,41,2,0,-3
1532660913997582,53,-3,-11,-8,40,-11,-3,-1
1532660913997582,-92,-3,-3,-14,-11,-3,-8,-21
1532660914012586,29,-8,7,14,-44,10,19,38
1532660914012586,-36,1,-4,-9,-52,-14,-13,-33
1532660914013576,-33,3,2,6,-2,1,2,6
1532660914013576,39,3,-6,-7,16,-2,-2,7
1532660914034603,-22,3,7,11,-6,3,-3,-15
1532660914034603,5,-4,8,7,-33,12,1,3
1532660914036604,7,7,-2,-10,41,-11,-5,-1
1532660914036604,7,-24,-13,-10,29,-13,0,1
1532660914048650,-32,2,-15,-19,-64,-19,-5,-10
1532660914048650,34,10,2,3,-31,-4,-3,3
1532660914057600,-17,-9,-5,-1,9,-4,-4,2
1532660914057600,31,6,15,23,-54,15,7,11
1532660914071711,-26,-32,-4,-3,100,-4,-8,-8
1532660914071711,20,25,3,4,5,21,9,2
1532660914078680,34,5,4,-1,-38,-2,-1,6
1532660914078680,-33,5,-4,-7,5,-8,-3,4
1532660914094691,38,-1,6,6,3,9,-3,-17
1532660914094691,-118,-14,-4,-2,-5,-9,1,-53
1532660914096687,43,3,5,4,-16,3,-4,41
1532660914096687,51,-1,-9,-2,-7,10,2,7
1532660914108697,-4,6,4,0,22,-7,-4,-1
1532660914108697,24,2,2,1,7,-2,-4,-5
1532660914123711,-31,-2,-5,-6,20,-3,4,-22
1532660914123711,-2,0,5,7,15,3,3,13
1532660914131717,2,4,-8,-7,-91,-5,-1,2
1532660914131717,-7,-8,5,4,38,-2,-5,14
1532660914138721,-23,-5,-2,2,-56,3,-1,-10
1532660914138721,27,4,-12,-5,46,-2,-5,0
1532660914154732,-29,6,17,1,40,3,4,0
1532660914154732,21,-6,-6,-7,-55,-20,-7,1
1532660914156737,-11,-3,-3,-5,-12,-4,1,5
1532660914156737,-4,-3,-1,4,-5,-6,-4,-9
1532660914176747,-25,-4,0,3,-32,0,-11,-12
1532660914176747,37,2,-9,-6,11,-4,-5,12
1532660914178753,-15,1,12,3,6,4,4,-7
1532660914178753,91,6,-5,-4,-3,-5,-6,5
1532660914190758,-67,-26,-11,-4,-15,-2,-5,-3
1532660914190758,23,-31,8,6,2,6,15,19
1532660914199792,1,69,-6,-4,-10,3,2,-8
1532660914199792,19,-3,-3,-11,-5,0,3,0
1532660914214820,16,0,9,10,13,5,-3,-8
1532660914214820,17,-14,-8,3,54,4,0,17
1532660914215821,-21,-18,-5,-7,-52,-11,1,-8
1532660914215821,-36,0,6,-2,25,-7,-3,-13
1532660914236835,5,16,2,7,-13,11,5,8
1532660914236835,-4,0,-7,-5,-10,-2,-6,-6
1532660914238819,11,-8,0,5,-17,11,5,8
1532660914238819,-26,4,-3,-8,-31,-22,-12,-7
1532660914251848,6,-12,-5,-5,-54,-2,2,5
1532660914251848,55,14,7,3,0,0,5,8
1532660914257832,-4,-19,-7,-5,46,-11,-4,-17
1532660914257832,-36,-6,-2,-3,-28,9,4,10
1532660914274890,-3,9,4,-2,14,1,3,4
1532660914274890,-3,0,-1,0,-34,-2,-4,-3
1532660914275903,0,-2,1,8,28,8,2,-7
1532660914275903,-18,-2,-1,0,36,4,-1,-7
1532660914296922,93,3,-13,-6,-10,-9,3,18
1532660914296922,-62,-11,1,-6,-36,-2,-2,-12
1532660914298924,-60,-4,2,-1,22,-9,-3,-22
1532660914298924,43,-12,-3,3,41,1,6,9
1532660914311932,-26,5,5,3,-27,2,-2,1
1532660914311932,8,0,1,1,4,0,0,1
1532660914317937,7,-7,-1,-1,9,6,-4,-1
1532660914317937,-10,0,2,-3,-19,-7,-3,-4
1532660914333931,5,0,-9,-7,-37,-1,2,-7
1532660914333931,-23,4,0,-5,-39,-9,-1,-2
1532660914340934,0,1,8,4,68,10,-1,8
1532660914340934,-3,2,-4,-3,-57,-23,-9,-7
1532660914356946,-1,-6,-2,-2,15,-1,-2,-6
1532660914356946,7,4,-2,1,4,2,-1,3
1532660914358948,23,1,-6,-7,-30,1,-2,10
1532660914358948,8,1,6,3,44,11,2,-5
1532660914370960,-22,0,-3,2,6,-8,0,-1
1532660914370960,2,0,-6,-1,14,8,-2,-3
1532660914377974,-2,-2,7,1,-1,-5,0,-1
1532660914377974,-3,5,-5,-2,-7,5,-1,-2
1532660914393989,-10,7,5,5,40,2,0,-1
1532660914393989,10,1,-2,0,23,6,1,2
1532660914401992,55,-6,1,-1,-1,-5,-1,3
1532660914401992,-47,-6,-1,-9,-15,-10,-1,9
1532660914416991,-5,-1,-3,0,-20,3,4,2
1532660914416991,1,2,-3,-3,-13,-5,-2,-2
1532660914418998,1,-5,-4,-1,34,0,-4,-2
1532660914418998,2,1,1,5,7,6,-2,-7
1532660914431022,-4,-3,7,-3,14,-2,0,1
1532660914431022,6,1,-6,1,6,2,-11,-4
1532660914438059,-12,-4,-3,-4,-25,-3,-1,-3
1532660914438059,3,-1,-1,-2,0,1,0,-3
1532660914454069,-2,-6,-5,-2,3,-3,-2,1
1532660914454069,8,5,1,-4,4,1,3,2
1532660914461039,-6,-5,-1,3,-8,-3,-9,-2
1532660914461039,-3,1,-2,-1,-6,1,7,0
1532660914477050,5,4,7,2,-4,-5,4,2
1532660914477050,-1,0,-2,1,10,2,-4,0
1532660914485057,-8,1,4,-1,-5,2,1,4
1532660914485057,3,-1,0,1,3,6,2,0
1532660914491040,-4,2,-2,-2,0,-3,-8,-5
1532660914491040,2,-4,-2,-5,-6,-8,6,-2
1532660914498065,-3,-2,-4,-2,-11,5,12,7
1532660914498065,2,-2,-3,0,-7,-15,-23,-5
1532660914515076,-2,-1,-6,-8,-2,-8,-6,-3
1532660914515076,-1,1,2,5,7,25,0,0
1532660914516067,-2,-4,-6,-3,-2,-31,3,-2
1532660914516067,-2,0,5,1,-10,-4,3,-1
1532660914537128,-1,1,-7,-5,7,9,6,-1
1532660914537128,1,0,1,4,5,6,-5,2
1532660914539088,-4,1,-3,-3,-2,-3,22,4
1532660914539088,2,-2,0,-8,-4,1,-15,13
1532660914551086,-5,-1,-3,2,-4,10,-29,-32
1532660914551086,-4,-3,1,-3,-2,-25,9,1
1532660914558088,-2,-1,1,1,-3,7,-43,-10
1532660914558088,1,-3,-1,2,5,17,25,8
1532660914575102,2,-7,-3,0,2,-2,16,-12
1532660914575102,11,15,-1,-1,2,-17,-29,21
1532660914576101,-6,0,4,6,1,14,35,11
1532660914576101,4,2,-2,-4,0,9,40,0
1532660914596135,1,0,1,7,14,10,29,0
1532660914596135,0,-5,-1,-3,-1,9,-76,-17
1532660914597119,-6,-11,-10,-14,-34,-49,-60,6
1532660914597119,-9,-4,-4,4,-6,-40,-5,-40
1532660914619230,1,3,-1,-5,1,-4,35,41
1532660914619230,2,1,4,1,17,54,74,-18
1532660914620220,2,2,-4,5,5,-5,-20,-4
1532660914620220,-3,-1,-1,-4,-6,22,-41,-6
1532660914641192,-3,-2,-1,-5,-1,4,3,6
1532660914641192,-5,-8,-1,-5,-18,34,5,6
1532660914642193,-1,-3,0,-6,8,-26,0,-9
1532660914642193,4,7,1,3,8,-15,8,5
1532660914656257,0,2,4,2,-6,-22,5,-1
1532660914656257,-6,-4,-6,-5,-6,56,-3,-4
1532660914657203,0,-1,1,3,3,13,23,-7
1532660914657203,1,-5,-2,-2,-1,-9,-11,7
1532660914687243,0,0,-1,-1,1,-14,27,6
1532660914687243,-2,-4,-1,6,0,-41,-37,-4
1532660914688235,-1,-3,-6,-8,-6,27,8,0
1532660914688235,-1,-2,0,0,3,26,10,1
1532660914701237,2,1,-3,-2,3,-26,-38,-3
1532660914701237,1,2,6,4,9,-9,48,1
1532660914702261,-1,2,1,5,4,22,5,0
1532660914702261,1,-1,-5,0,-4,-12,-7,1
1532660914716309,0,-2,4,-1,-5,-13,-10,-7
1532660914716309,0,-1,-7,-3,4,-9,6,5
1532660914717296,2,1,2,-1,-3,-1,-5,0
1532660914717296,19,-6,3,-5,0,-2,10,0
1532660914739310,-27,2,-4,1,0,17,-8,-6
1532660914739310,-4,-1,0,-3,5,-18,3,3
1532660914739310,0,1,2,3,6,18,20,3
1532660914739310,-6,-2,-3,0,-10,-6,-20,-5
1532660914776347,7,-4,-3,-3,-1,14,-1,-1
1532660914776347,0,3,1,-4,-3,-34,-42,-1
1532660914786353,1,3,4,6,3,10,59,6
1532660914786353,-4,-2,-3,-1,-4,-1,-36,-4
1532660914787344,3,-3,-3,-2,-4,12,-12,-2
1532660914787344,-4,-2,-3,-2,-2,-12,4,-2
1532660914788344,4,1,1,1,-1,-9,5,-1
1532660914788344,-4,2,-3,-3,3,2,9,4
1532660914800363,1,-2,3,2,-2,0,-9,-4
1532660914800363,0,-4,-2,1,-2,-16,8,-4
1532660914801373,-2,-4,-5,-4,-2,1,-19,-5
1532660914801373,-3,-1,0,-2,-2,9,5,0
1532660914821423,2,1,0,1,-2,2,7,0
1532660914821423,3,0,-1,-2,2,1,26,6
1532660914822378,-4,-10,-6,-8,-10,13,-45,-8
1532660914822378,-2,5,1,2,2,1,6,-1
1532660914836380,3,1,4,2,0,-6,-4,0
1532660914836380,-2,0,3,1,0,-3,-5,-3
1532660914837380,-2,-2,-3,-4,2,3,-6,0
1532660914837380,-2,-3,-2,-2,-2,-2,6,1
1532660914867402,1,-1,-3,-2,-2,6,9,-1
1532660914867402,-7,0,-2,-3,-2,-1,-7,-2
1532660914868404,-7,1,-1,1,0,-2,-5,-2
1532660914868404,-5,0,-1,0,0,-9,18,1
