timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1545116698780831,-14,-23,-35,-12,0,2,4,5
1545116698780831,-6,17,-12,-2,-79,-27,-9,-6
1545116698781846,-13,-34,14,105,10,2,-1,-3
1545116698781846,-9,23,43,86,71,21,4,-1
1545116698785849,-10,3,8,-89,-90,-30,-11,-4
1545116698785849,21,27,82,91,116,28,13,11
1545116698786850,-1,-74,-62,-50,-5,1,-1,-3
1545116698786850,2,-3,-36,-61,-47,-16,-7,-5
1545116698791843,20,40,33,59,20,-16,-10,-7
1545116698791843,-17,-55,-30,-88,8,53,21,8
1545116698801846,6,22,35,-125,-109,-20,-7,-4
1545116698801846,5,-8,17,-92,-74,-28,-5,4
1545116698806850,-20,50,48,68,24,28,0,-9
1545116698806850,-10,-26,-53,-128,-7,-8,-2,1
1545116698821874,11,18,9,-35,42,20,7,-2
1545116698821874,8,-26,24,-128,-92,-23,-4,1
1545116698831878,25,6,-48,-73,56,20,6,11
1545116698831878,-5,26,32,61,11,-7,-5,-4
1545116698852898,-4,-15,-36,-10,5,4,1,-1
1545116698852898,-4,42,7,-84,-111,-46,-11,-5
1545116698853909,-10,-23,77,84,83,72,25,8
1545116698853909,0,-40,-71,-103,-13,16,-1,-4
1545116698865910,-25,60,-65,-122,-41,-23,-9,-4
1545116698865910,30,-22,33,-113,-102,-58,-19,-4
1545116698907920,-3,41,88,-91,-76,-22,-6,-8
1545116698907920,-4,-59,-22,98,31,-12,-11,-8
1545116698908921,-12,8,95,75,-22,12,3,-4
1545116698908921,14,-17,34,-75,-91,-27,-9,1
1545116698912927,-9,-9,-11,-85,-42,-2,-2,-6
1545116698912927,-20,-12,108,47,-12,-9,-6,-6
1545116698913962,23,11,-48,-29,76,21,8,6
1545116698913962,-7,3,-43,-23,15,0,-5,-4
1545116698918983,11,7,0,-29,-85,-41,-10,-2
1545116698918983,7,18,-48,-92,72,71,27,13
1545116698925987,-10,-11,-88,-18,-46,-18,-8,-7
1545116698925987,-2,14,5,-1,-7,2,3,3
1545116698934949,-3,-11,-3,-19,-57,-16,-6,-4
1545116698934949,-1,9,-32,-70,0,-2,-1,-1
1545116698949966,-4,-24,-25,1,15,2,-1,0
1545116698949966,15,67,-16,-123,-88,-33,-8,-1
1545116698955964,-18,-36,1,44,106,87,29,10
1545116698955964,-41,-16,37,-62,-83,-12,-5,-5
1545116698979992,22,32,18,-26,-80,-25,-7,6
1545116698979992,7,-22,-5,-112,-3,1,-1,-8
1545116698981982,9,-3,10,29,127,37,10,7
1545116698981982,24,22,-32,-16,19,0,4,7
1545116698994001,-21,-13,5,-95,-46,-20,-9,-9
1545116698994001,-25,-18,-10,91,46,2,-5,-9
1545116699003007,4,7,54,113,60,18,7,3
1545116699003007,-4,-11,-105,-70,-15,-8,-4,-2
1545116699019013,-1,26,48,-48,-37,-16,-5,-2
1545116699019013,-10,-4,-49,93,-55,-15,-5,-4
1545116699021027,13,6,-29,-66,-32,-18,-6,-3
1545116699021027,-5,34,101,127,51,18,4,-1
1545116699040023,-2,-27,33,-56,-22,-17,-5,-3
1545116699040023,12,-6,48,12,-12,0,0,4
1545116699042016,-9,48,-33,-124,-124,-75,-19,-2
1545116699042016,39,48,17,-55,23,54,23,11
1545116699054048,-1,14,-44,-24,-24,23,8,3
1545116699054048,8,-6,-37,-33,22,12,4,4
1545116699069034,-5,8,12,-38,-56,-23,-11,-6
1545116699069034,-4,-1,-12,-99,-111,-54,-19,-10
1545116699078042,4,-80,-3,99,127,44,19,12
1545116699078042,-3,49,62,2,14,6,0,-2
1545116699079041,-5,-90,-95,-69,-69,-31,-14,-6
1545116699079041,-12,10,67,106,48,9,0,-3
1545116699100080,15,-7,-86,-48,-19,17,1,-3
1545116699100080,2,6,-16,-53,-32,-1,3,3
1545116699102058,1,-29,40,-26,-12,5,-3,-3
1545116699102058,28,25,-26,-69,54,15,7,4
1545116699114083,-23,14,-41,-83,-85,-41,-19,-13
1545116699114083,1,-44,-27,52,44,0,-1,-1
1545116699123073,-10,6,-66,80,46,18,5,1
1545116699123073,-2,-24,20,-67,-23,-9,-5,-5
1545116699138084,-10,80,41,65,43,0,1,2
1545116699138084,10,-53,70,69,46,28,10,-2
1545116699139084,-25,-13,-31,52,40,11,2,0
1545116699139084,-4,-6,-9,31,-53,-32,-12,-9
1545116699160099,0,-34,-11,7,-3,1,-2,-5
1545116699160099,-5,26,33,-106,-37,-12,-7,-2
1545116699162115,11,32,72,45,-15,-9,-2,-4
1545116699162115,-14,-33,-35,-8,-34,-2,0,3
1545116699174132,-9,19,32,-32,-29,-12,-6,-6
1545116699174132,-9,6,-4,29,1,4,3,0
1545116699183135,20,2,66,-55,-8,9,4,5
1545116699183135,-12,-7,-69,-87,-45,-24,-9,-4
1545116699197125,14,14,53,52,15,5,3,1
1545116699197125,-5,2,-16,1,-16,-5,0,1
1545116699199127,-1,-13,39,-92,-28,-4,-4,-7
1545116699199127,-20,-10,-46,48,-8,-14,-5,-4
1545116699220197,4,-4,17,-50,-64,-18,-2,0
1545116699220197,13,-33,-78,-82,104,49,18,15
1545116699222148,6,7,-10,-105,-28,-6,-5,1
1545116699222148,10,13,66,112,0,3,2,1
1545116699234171,1,-1,-1,-48,32,15,6,2
1545116699234171,16,32,36,-33,-46,-17,-5,-3
1545116699243158,-18,-30,-43,40,31,4,0,-5
1545116699243158,5,1,2,-63,-20,-5,0,1
1545116699257168,5,-4,11,33,3,-4,-3,1
1545116699257168,-19,6,-3,35,-2,-6,-5,-6
1545116699259169,7,13,-26,30,29,17,4,2
1545116699259169,-4,-3,-26,-14,-24,-7,-6,-4
1545116699280187,-3,-22,46,64,29,-1,2,1
1545116699280187,-20,20,15,20,-6,-3,-2,-5
1545116699282200,-4,-30,21,6,8,0,0,-3
1545116699282200,9,3,26,-45,-12,-6,-3,4
1545116699294255,-9,-7,-33,34,6,1,-1,1
1545116699294255,0,-9,10,1,-12,-7,-4,0
1545116699303219,4,22,-9,44,12,4,0,-2
1545116699303219,-8,3,12,5,-4,-3,-1,-3
1545116699318212,5,-7,-8,-18,13,5,1,0
1545116699318212,-8,-10,8,16,-13,-1,-1,-4
1545116699319225,-2,20,-19,13,-1,-6,-7,-43
1545116699319225,11,-17,-7,0,4,-3,1,51
1545116699340247,4,1,4,-8,-17,-5,-4,-7
1545116699340247,0,-7,-12,-4,2,0,-1,2
1545116699341228,-17,8,4,18,8,5,3,1
1545116699341228,6,-4,-21,-8,0,-2,-1,-13
1545116699362262,-4,0,-8,-8,-6,-2,-1,-2
1545116699362262,-2,-1,-4,0,-10,-2,-2,-4
1545116699363263,7,2,20,21,13,-1,0,6
1545116699363263,-4,3,22,16,-5,-2,-4,-11
1545116699376255,0,3,-5,-14,0,-1,-4,8
1545116699376255,0,-11,-23,-5,-2,-10,-5,-4
1545116699384311,6,13,-2,10,-1,8,6,10
1545116699384311,-9,-8,-4,-7,2,4,3,-8
1545116699399323,3,-2,-10,-6,1,-1,-2,-3
1545116699399323,-2,-2,12,-2,-2,-2,-3,-2
1545116699400282,-1,5,-21,4,-1,-7,-3,6
1545116699400282,3,7,12,6,-1,-1,-1,-4
1545116699422361,-11,-9,3,-5,-4,-3,-10,-8
1545116699422361,-11,0,4,6,-3,-3,13,-4
1545116699422361,26,7,-5,3,1,3,6,15
1545116699422361,-14,-19,-10,-2,0,-1,-4,-20
1545116699436424,-8,1,3,-3,-2,-4,-18,-9
1545116699436424,-2,-4,-6,2,-2,13,20,8
1545116699443394,3,0,2,-2,-3,-9,-18,18
1545116699443394,5,7,25,8,3,1,7,28
1545116699461390,11,4,-21,4,4,1,7,-25
1545116699461390,-11,-1,13,-10,-5,-4,-17,-25
1545116699461390,-7,1,13,0,1,1,1,-10
1545116699461390,-1,2,2,4,-2,-6,-2,-11
1545116699478450,-4,-30,21,6,8,0,0,-3
1545116699478450,9,3,26,-45,-12,-6,-3,4
1545116699479439,-9,-7,-33,34,6,1,-1,1
1545116699479439,0,-9,10,1,-12,-7,-4,0
1545116699484436,4,22,-9,44,12,4,0,-2
1545116699484436,-8,3,12,5,-4,-3,-1,-3
1545116699485436,5,-7,-8,-18,13,5,1,0
1545116699485436,-8,-10,8,16,-13,-1,-1,-4
1545116699490452,-3,0,10,-12,-5,-1,-1,14
1545116699490452,3,-1,-12,4,-3,-4,-5,3
1545116699491452,-2,-1,-14,-5,9,8,9,-5
1545116699491452,-1,1,10,2,1,-1,-5,-2
1545116699496459,-5,-2,2,-4,-4,0,0,0
1545116699496459,8,2,-5,-7,-9,-6,-3,3
1545116699503512,-3,-3,5,1,-4,-2,1,0
1545116699503512,-12,-7,-7,-1,8,7,-2,-8
1545116699519521,4,-3,-4,-3,-2,2,4,4
1545116699519521,7,0,8,7,8,-4,-15,2
1545116699520561,-5,-3,-7,0,-8,-7,1,-2
1545116699520561,1,-1,-7,-1,-3,-4,3,-15
1545116699550546,-4,-2,3,1,0,2,-30,-19
1545116699550546,1,-1,-1,-4,-6,8,66,77
1545116699550546,-10,4,-10,1,0,-3,-35,-5
1545116699550546,10,2,-4,-3,-3,-6,25,0
1545116699556530,-15,-11,12,-4,-3,-6,-16,-13
1545116699556530,1,1,-4,2,4,2,-10,-16
1545116699557531,-5,-3,-4,1,3,3,22,8
1545116699557531,18,7,4,-1,0,3,6,5
1545116699579546,-4,-4,0,2,-5,-8,-5,4
1545116699579546,-2,0,-3,2,2,-3,-23,-11
1545116699580547,-11,-1,-6,-4,-3,-2,2,-2
1545116699580547,-4,8,2,-1,-1,-1,12,-10
1545116699601563,12,-7,-11,-7,-5,0,17,-3
1545116699601563,-25,-11,-5,-5,-9,-5,-14,-13
1545116699602563,-3,-1,2,6,7,-14,-41,-8
1545116699602563,6,3,-3,-2,-1,17,-3,10
1545116699616573,27,11,1,0,-2,-8,-25,-38
1545116699616573,-11,-3,-2,-3,-1,6,-36,49
1545116699617573,19,7,0,0,-2,-3,56,15
1545116699617573,-4,-9,1,-1,-6,-1,-18,-12
1545116699639607,-7,-5,-4,-3,1,2,37,17
1545116699639607,26,2,-1,-2,-4,-17,-43,-15
1545116699640591,-10,-10,-8,-6,-5,-11,-67,-19
1545116699640591,-5,-7,0,4,5,4,45,9
1545116699661605,2,6,0,0,-1,8,16,-2
1545116699661605,-10,-9,-1,-1,1,-2,18,-22
1545116699662605,-15,3,-1,1,-1,12,15,13
1545116699662605,29,7,-3,-5,-5,-8,-12,-7
1545116699676654,-6,-1,1,2,0,-1,3,17
1545116699676654,-7,0,0,2,-1,-1,-7,-7
